歌名,时间,歌手,专辑名字,歌单名称
Fashion Blogger - (Fashion Blogger),4:37,RHYME SO,Fashion Blogger,【日语】听这些就可以走路带风
Comme Des Gar??ons (Like The Boys),3:01,Rina Sawayama,SAWAYAMA,【日语】听这些就可以走路带风
Transcend (Kan Sano Remix) feat. Armi (Up Dharma Down),3:34,Ovall,Ovall Reworks,【日语】听这些就可以走路带风
御伽の街,3:23,DAOKO,御伽の街,【日语】听这些就可以走路带风
MAIGO,3:52,SIRUP/Joe Hertz,CIY,【日语】听这些就可以走路带风
Lost (Fresh Mode Remix),3:03,End of the World/Clean Bandit/Fresh Mode,Lost (Fresh Mode Remix),【日语】听这些就可以走路带风
RUNAWAY feat. Wouter Hamel,3:45,Nao Kawamura,RUNAWAY feat. Wouter Hamel,【日语】听这些就可以走路带风
In Your Arms,3:07,Aiobahn/Ralph Larenzo,In Your Arms,【日语】听这些就可以走路带风
Hurly Burly - (WEB动画《拉链超人组》片尾曲 ),5:12,Perfume,Spending all my time,【日语】听这些就可以走路带风
呼吸,4:57,蔡健雅,Tanya 蔡健雅,你的声音连同气息 穿过秋天漫长的电话线
你的样子,5:48,刘莱斯,你的样子,你的声音连同气息 穿过秋天漫长的电话线
是想你的声音啊 - (你快听 滴答滴),3:54,傲七爷,是想你的声音啊,你的声音连同气息 穿过秋天漫长的电话线
永不失联的爱,4:19,周兴哲,如果雨之后,你的声音连同气息 穿过秋天漫长的电话线
你还好吗,4:34,吴大文,你还好吗,你的声音连同气息 穿过秋天漫长的电话线
看见你的声音 - (电视剧《想见你》插曲),4:15,陈零九,看见你的声音,你的声音连同气息 穿过秋天漫长的电话线
心领神会,4:16,莫文蔚,我们在中场相遇,你的声音连同气息 穿过秋天漫长的电话线
或是一首歌,4:34,田馥甄,或是一首歌,你的声音连同气息 穿过秋天漫长的电话线
多远都要在一起,3:37,G.E.M.邓紫棋,新的心跳,你的声音连同气息 穿过秋天漫长的电话线
秋海棠,3:44,澈澈limpidity,秋海棠,你的声音连同气息 穿过秋天漫长的电话线
Dance Like Nobody's Watching,3:02,Iggy Azalea/Tinashe,Dance Like Nobody's Watching,街头扮酷指南 | 小心别被节奏带跑偏
imma,2:03,bbno$/Lentra,imma,街头扮酷指南 | 小心别被节奏带跑偏
Baggin',3:17,Marshmello/42 Dugg,Baggin',街头扮酷指南 | 小心别被节奏带跑偏
Endorphins,3:25,tobi lou,Endorphins,街头扮酷指南 | 小心别被节奏带跑偏
LOCKED UP PT. 2,3:23,6ix9ine/Akon,TattleTales,街头扮酷指南 | 小心别被节奏带跑偏
Lucky Mistake (Her 2.0),2:55,Vincent/Alice Berg,Lucky Mistake (Her 2.0),街头扮酷指南 | 小心别被节奏带跑偏
Lie to Me,2:54,BLOWFEVER,Lie to Me,街头扮酷指南 | 小心别被节奏带跑偏
Ring,2:54,T.I./Young Thug,Ring (feat. Young Thug),街头扮酷指南 | 小心别被节奏带跑偏
Kobe,2:51,Dame D.O.L.L.A./Snoop Dogg/Derrick Milano,Kobe (feat. Snoop Dogg & Derrick Milano),街头扮酷指南 | 小心别被节奏带跑偏
99 Problems,2:17,Hugo,Old Tyme Religion,街头扮酷指南 | 小心别被节奏带跑偏
乘着时光的风,2:56,万思妤,乘着时光的风,安逸民谣 | 微酣午后的一份心情调味剂
给猫夏的你,4:31,程璧,晴日共剪窗,安逸民谣 | 微酣午后的一份心情调味剂
时光流转,4:13,郁冬,露天电影院,安逸民谣 | 微酣午后的一份心情调味剂
蓝天白云 - (Sky Inside the Eyewall),6:00,张悬,神的游戏,安逸民谣 | 微酣午后的一份心情调味剂
离开了鹭岛你会想念吗,5:00,张目求思,离开了鹭岛你会想念吗,安逸民谣 | 微酣午后的一份心情调味剂
旧诗,3:23,孟凡明,旧诗,安逸民谣 | 微酣午后的一份心情调味剂
白兰鸽巡游记,4:00,丢火车,游歌,安逸民谣 | 微酣午后的一份心情调味剂
风吹柳丝飘,5:22,小娟&山谷里的居民,心有花开,安逸民谣 | 微酣午后的一份心情调味剂
夏日牧歌,4:24,安子与九妹,对酒当歌,安逸民谣 | 微酣午后的一份心情调味剂
来信,4:21,陈鸿宇,浓烟下的诗歌电台,安逸民谣 | 微酣午后的一份心情调味剂
Maria and the Violin's String,2:58,Ashram,Shining Silver Skies,唯美提琴??|??音符从琴弦上缓缓流淌??专题肆
殇 - (电影《倩女幽魂》插曲),2:50,徐嘉良,倩女幽魂 电视配乐原声带,唯美提琴??|??音符从琴弦上缓缓流淌??专题肆
Love Theme (From Cinema Paradiso),3:58,Jeff Steinberg,Romance In Tuscany,唯美提琴??|??音符从琴弦上缓缓流淌??专题肆
Transcendence,3:46,Lindsey Stirling,Lindsey Stomp - EP,唯美提琴??|??音符从琴弦上缓缓流淌??专题肆
At Nightfall,1:57,梶浦由记,Sword Art Online Original Soundtrack Vol.1,唯美提琴??|??音符从琴弦上缓缓流淌??专题肆
Avec Toi Toujours~いつもあなたと一绪に~(Violin Version),4:20,城之内ミサ,TBS系ドラマ“夫妇道”オリジナル??サウンドトラック,唯美提琴??|??音符从琴弦上缓缓流淌??专题肆
To Love You More,4:32,Lucia Micarelli,Music From A Farther Room,唯美提琴??|??音符从琴弦上缓缓流淌??专题肆
Autumn Leaf,3:49,re:plus,Relax and Smooth presented by Folklove,唯美提琴??|??音符从琴弦上缓缓流淌??专题肆
寂静之空,4:30,傅许,夜语·寂静之空,唯美提琴??|??音符从琴弦上缓缓流淌??专题肆
Etuprika (with Jake Shimabukuro),3:51,叶加瀬太郎,My Favorite Songs,唯美提琴??|??音符从琴弦上缓缓流淌??专题肆
等,2:13,李优秀,等,学习歌单～（超赞纯音乐！）
遗憾的是我们连合照都没有,2:06,葛羽瞳,往 事 归 零 爱 恨 随 意,学习歌单～（超赞纯音乐！）
Blue,1:43,李优秀,BLUE,学习歌单～（超赞纯音乐！）
为 你 数 的 羊 都 掉 进 了 深 不 见 底 的 夜 里,2:28,葛羽瞳,又在等谁跟你说晚安,学习歌单～（超赞纯音乐！）
Flattered by Your Skills（Piano）,3:33,FG,Time will tell（Piano）,学习歌单～（超赞纯音乐！）
猫空缆车,2:42,毛亦周,猫空缆车,甜甜的纯音乐??????请保持一颗少女心u
我 只 想 熬 到 十 八 岁,1:25,歪门,我 只 想 熬 到 十 八 岁,甜甜的纯音乐??????请保持一颗少女心u
生日当天的傍晚意外收到了来自暗恋对象的祝福,2:50,AniFace,生日当天的傍晚意外收到了来自暗恋对象的祝福,甜甜的纯音乐??????请保持一颗少女心u
今天天气很好，请问我可以偷偷亲你一下吗,2:36,秦才淞,大家好，我是一张红色封面,甜甜的纯音乐??????请保持一颗少女心u
你们要知道这是一首美少女才能听的歌！,4:00,HZ.MY/卡姆路,这是一首美少女才能听的歌,甜甜的纯音乐??????请保持一颗少女心u
原本想成为你的一部分，可是不知不觉间，你就成了我的全部,1:54,白鸿,原本想成为你的一部分，可是不知不觉间，你就成了我的全部,甜甜的纯音乐??????请保持一颗少女心u
温柔的好天气总是和你一样，止不住的让人心动,2:47,Hea2t,因为有你，世界变得美丽,甜甜的纯音乐??????请保持一颗少女心u
晴天的周末在去学校补课的路上遇见了喜欢的人,3:32,AniFace,晴天的周末在去学校补课的路上遇见了喜欢的人,甜甜的纯音乐??????请保持一颗少女心u
最幸福的事，就是在喜欢你的每一天里，被你喜欢,3:02,Hea2t,最幸福的事，就是在喜欢你的每一天里，被你喜欢,甜甜的纯音乐??????请保持一颗少女心u
Luh Kel So Sick Freestyle,0:33,Luh Kel,Luh Kel So Sick Freestyle,[欧美私人订制] 最懂你的欧美推荐 每日更新35首
"City Of Stars (From ""La La Land"" Soundtrack)",2:29,Ryan Gosling/Emma Stone,La La Land (Original Motion Picture Soundtrack),[欧美私人订制] 最懂你的欧美推荐 每日更新35首
Reality [ANR85],0:54,Lost Frequencies/Janieck,Armada Night Radio 085 (Year Mix 2015),[欧美私人订制] 最懂你的欧美推荐 每日更新35首
Scars To Your Beautiful,3:50,Alessia Cara,Know-It-All,[欧美私人订制] 最懂你的欧美推荐 每日更新35首
Tonight,1:24,Demxntia,Goodnight,[欧美私人订制] 最懂你的欧美推荐 每日更新35首
TroubledYouth,0:52,Bones,TeenWitch,[欧美私人订制] 最懂你的欧美推荐 每日更新35首
Ghost (Acoustic),3:37,Au/Ra,Ghost (Acoustic),[欧美私人订制] 最懂你的欧美推荐 每日更新35首
Unstoppable,3:37,Sia,This Is Acting,[欧美私人订制] 最懂你的欧美推荐 每日更新35首
Difficult,2:44,Jay Bombay/NEIMY,Difficult,[欧美私人订制] 最懂你的欧美推荐 每日更新35首
Savage,2:44,Bahari,Savage,[欧美私人订制] 最懂你的欧美推荐 每日更新35首
